local_time,ac_curr,ac_pow,ac_volt,bh_dp,bh_out,blw_pct,boiler,c_ratio,ch4_pct,co2_pct,cull_pct,cwr,cws,dc_curr,dc_mtr2,dc_pow,dc_volt,g_o2_p,gad_o2,h2_pct,new_n2,o2_pct,o2_press,omega_o2,omega_pro,pem,pem_p,pemn2a,pemn2b,pemo2a,pemo2b,q_out,q_wat,q_wat_p,r_ac_hld,scrb_hx,scrb_lev,scrb_p,scrb_ph,scrbtank,steam,syn_pph,syn_scfm,synfm_p,synfm_t,total_n2,total_o2,trc_bot,trc_q,trc_surf,trc_top
6:10:00,168.36052,17.049399,101.2662033,0.61739965,127,49.9878,15962.8,0.007308452,0.0536426,6.456018633,50.0122,28,25.98333333,0,0,0,0,14.310415,0,0,3.654043467,2.2997178,25.59363367,0.043961077,0.686225757,862.0238733,-1.2120154,19.9945,0,0,0,180.5833333,1.618266667,43.13123333,257,15,10.271382,-2.223150733,6.9300138,16,7.035449833,0,0,0.3514038,23,2.551517667,0.360221333,1013.8988,285.2176667,154.9453333,878.022
6:10:30,168.3416233,17.04729333,101.26598,0.6172979,127,49.9878,15962.8,0.007859416,0.05611716,6.4460546,50.0122,28,25.61666667,0,0,0,0,14.310995,0,0,3.654684633,2.2978456,25.5922,0.042333323,0.686398537,861.7070333,-1.221410267,19.9945,0,0,0,181.6233333,1.6517,45.2157,257,15,10.28419133,-2.227129533,6.926431567,16,6.991998567,0,0,0.339845,23,2.551895367,0.359536667,1013.8918,285.2653333,154.987,878.022
6:11:00,168.34659,17.049665,101.2755833,0.6168095,127,49.9878,15962.8,0.007833584,0.0599918,6.457875333,50.0122,28,26,0,0,0,0,14.31539333,0,0,3.658592267,2.3005318,25.59597967,0.043747503,0.68630989,861.8454233,-1.1979222,19.979619,0,0,0,182.2466667,1.6919,44.50246667,257,15,10.28327,-2.206910167,6.9240148,16,6.951838133,0,0,0.3306468,23,2.555871867,0.359747333,1013.7952,285.2883333,155.066,878.022
6:11:30,168.34006,17.04162467,101.2329267,0.61621935,127,49.9878,15962.8,0.008634854,0.04836788,6.4839075,50.0122,28,26,0,0,0,0,14.312445,0,0,3.656725967,2.296706,25.59428533,0.04306708,0.686024903,862.01559,-1.194831767,19.986736,0,0,0,183.0933333,1.7612,44.65913333,257,15,10.29055633,-2.203688433,6.92308,16,6.8815373,0,0,0.3428568,23,2.5533638,0.359484,1013.9156,285.294,155.0246667,878.0054
6:12:00,168.33169,17.039021,101.2228767,0.6172165,127,49.9878,15962.8,0.008183089,0.05680092,6.454749267,50.0122,28,25.95,0,0,0,0,14.31336333,0,0,3.657283933,2.2992294,25.59545833,0.04306728,0.685478583,862.8278933,-1.1547004,19.991265,0,0,0,183.0933333,1.7223,43.9748,257,15,10.27762467,-2.1704757,6.92308,16,6.792900167,0,0,0.3396822,23,2.5570892,0.359484,1013.8904,285.2793333,155.1046667,877.9694333
6:12:30,168.35525,17.04600967,101.24387,0.61796945,127,49.9878,15962.8,0.008246261,0.0527472,6.460927633,50.0122,28,25.95,0,0,0,0,14.31307333,0,0,3.652895533,2.2879148,25.5922,0.04310723,0.68501173,862.9136933,-1.1725004,19.9945,0,0,0,183.99,1.8088,44.45253333,257,15,10.33086333,-2.186177867,6.922852,16,6.731291167,0,0,0.3388682,23,2.548293367,0.359484,1013.8918,285.3073333,155.2303333,878.022
6:13:00,168.37323,17.05523533,101.29412,0.6197806,127,49.9878,15962.8,0.007910713,0.04822136,6.476728733,50.0122,28,26,0,0,0,0,14.31587667,0,0,3.656831967,2.2842924,25.5922,0.042440163,0.684082473,862.5525267,-1.1243428,19.9945,0,0,0,184.7166667,1.845233333,44.6152,257,15,10.345331,-2.1475941,6.949220467,16,6.6773485,0,0,0.3336586,23.06666667,2.554858567,0.359576167,1013.858533,285.2713333,155.1686667,878.0358333
6:13:30,168.39989,17.047873,101.2367233,0.62004515,127,49.9878,15962.8,0.009249187,0.05400076,6.4691091,50.0122,28,26,0,0,0,0,14.31573167,0,0,3.654003733,2.258506167,25.5922,0.04232008,0.683778957,862.5885133,-1.1238477,19.9945,0,0,0,185.65,1.900233333,44.47576667,257,15,10.34123467,-2.150793,6.9689336,16,6.581050333,0,0,0.3330888,23.65,2.551491067,0.3595235,1013.861,285.2866667,155.1493333,878.0081667
6:14:00,168.43306,17.053897,101.2503467,0.62228365,127,49.9878,15962.8,0.008581005,0.04577936,6.4598294,50.0122,28,26,0,0,0,0,14.31892167,0,0,3.659512833,2.255636267,25.5922,0.042720337,0.683671593,862.28406,-1.103263067,19.9945,0,0,0,185.7333333,1.974533333,44.47903333,257,15,10.33077067,-2.132917333,6.943920567,16,6.505483167,0,0,0.3387054,24,2.558202233,0.35936547,1013.896,285.327,155.2263333,878.0081667
6:14:30,168.40485,17.04454267,101.2059033,0.62419655,127,49.9878,15962.8,0.008461329,0.05859172,6.474334567,50.0122,28,26,0,0,0,0,14.32008167,0,0,3.654136667,2.256511367,25.5922,0.043280703,0.683293487,863.0437933,-1.0966058,19.9945,0,0,0,186.07,2.047966667,44.20923333,257,15,10.34347267,-2.131453767,6.9340368,16,6.485431,0,0,0.3368332,24,2.548997867,0.35947083,1013.952,285.3363333,155.304,878.022
6:15:00,168.43647,17.06223,101.2976933,0.6262926,127,49.9878,15962.8,0.008785109,0.067562,6.500537433,50.0122,28,25.94,0,0,0,0,14.318245,0,0,3.657257667,2.248675333,25.5922,0.04366757,0.682620937,862.9247333,-1.079466933,19.9945,0,0,0,186.23,2.169533333,43.82563333,257,15,10.3443,-2.120414233,6.929171867,16,6.4456445,0,0,0.331298,24,2.5554783,0.359549833,1013.8974,285.386,155.3963333,878.0081667
6:15:30,168.43275,17.05148367,101.2380633,0.63001665,127,49.9878,15962.8,0.006975242,0.06065928,6.483370333,50.0122,28,25.96,0,0,0,0,14.31640833,0,0,3.657592667,2.2469453,25.59272133,0.04292031,0.683368213,862.79194,-1.0727652,19.9945,0,0,0,186.3833333,2.174966667,44.29403333,257,15,10.350131,-2.119999767,6.9265905,16,6.380605667,0,0,0.3326818,24,2.555865967,0.359799987,1013.929933,285.4013333,155.3676667,878.0109333
6:16:00,168.42097,17.05215067,101.24722,0.63095275,127,49.9878,15962.8,0.007640673,0.06938536,6.500317833,50.0122,28,26,0,0,0,0,14.32008167,0,0,3.6526556,2.238684967,25.592982,0.04274698,0.68416653,862.4279933,-1.103640333,19.9945,0,0,0,187,2.203866667,44.32343333,257,15,10.35165,-2.150304633,6.9264202,16,6.289089333,0,0,0.3327632,24,2.550036267,0.36106398,1013.896,285.4626667,155.289,877.9915667
6:16:30,168.4107733,17.050639,101.2424967,0.6307289,127,49.9878,15962.8,0.007510079,0.05898244,6.5018812,50.0122,28,26,0,0,0,0,14.31781,0,0,3.6595257,2.231666133,25.5922,0.042199963,0.683830343,863.0147333,-1.081239433,19.9945,0,0,0,187,2.3321,44.07573333,257,15,10.349353,-2.1373872,6.9261124,16,6.167257333,0,0,0.3364262,24,2.560118433,0.3607348,1013.854333,285.6343333,155.2106667,878.022
6:17:00,168.4098433,17.04855033,101.2384767,0.63502275,127,49.9878,15962.8,0.008086633,0.04996332,6.5171184,50.0122,28,26,0,0,0,0,14.31694,0,0.0017094,3.653362733,2.2307904,25.5922,0.042626923,0.683769807,863.077,-1.054893633,19.983501,0,0,0,186.55,2.45,44.10913333,257,15,10.35082433,-2.115237733,6.9233536,16,6.046957467,0,0,0.3362634,24,2.553296967,0.361353667,1013.812,285.7373333,155.1693333,878.022
6:17:30,168.43709,17.05662733,101.26531,0.6372816,127,49.9878,15962.8,0.00651076,0.04766784,6.507668,50.0122,28,26,0,0,0,0,14.31761667,0,0,3.657926167,2.224684333,25.58698667,0.043347333,0.683003873,863.077,-1.0726679,19.967326,0,0,0,185.5166667,2.451466667,44.2273,257.0833333,15,10.359,-2.134970367,6.925417,16,5.9450567,0,0,0.3346354,24,2.556555467,0.360194967,1013.8876,285.8516667,155.141,878.0081667
